Bill Of Materials (Listed per component)

Design C:\pcb_elegance\PcMotherBoard

April 18, 2012 19:32:11

+---+---------+-------------+-----------------+-------+
|pos|Reference|Value        |Geometry         |Part nr|
|149|C1021    |10u          |ELCO_SMD35x28    |       |
|150|C1022    |100n         |K0603            |       |
|151|C1023    |100p         |K0603            |       |
|152|C1024    |220p         |K0603            |       |
|153|C1025    |100n         |K0603            |       |
|154|C1026    |1u           |K1206            |       |
|155|C1027    |100n         |K0603            |       |
|156|C1028    |100p         |K0603            |       |
|157|C1029    |220p         |K0603            |       |
|158|C1030    |100n         |K0603            |       |
|159|C1031    |1u           |K1206            |       |
|160|C1033    |100n         |K0603            |       |
|161|C1034    |100n         |K0603            |       |
|162|C1035    |100n         |K0603            |       |
|163|C1036    |100n         |K0603            |       |
|164|C1037    |100n         |K0603            |       |
|165|C1038    |100n         |K0603            |       |
|166|C1039    |1u           |K1206            |       |
|167|C1040    |1u           |K1206            |       |
|168|C1041    |100n         |K0603            |       |
|169|C1042    |100n         |K0603            |       |
|170|C1043    |100u         |ELCO_SMD72x43    |       |
|171|C1044    |100u         |ELCO_SMD72x43    |       |
|172|C1045    |100u         |ELCO_SMD72x43    |       |
|173|C1046    |100u         |ELCO_SMD72x43    |       |
|174|C1047    |330u         |elco2_rad10mm    |       |
|175|C1048    |330u         |elco2_rad10mm    |       |
|176|C1049    |330u         |elco2_rad10mm    |       |
|177|C1050    |330u         |elco2_rad10mm    |       |
|178|C1051    |330u         |elco2_rad10mm    |       |
|179|C1052    |330u         |elco2_rad10mm    |       |
|180|C1053    |330u         |elco2_rad10mm    |       |
|181|C1054    |330u         |elco2_rad10mm    |       |
|182|C1055    |330u         |elco2_rad10mm    |       |
|183|C1056    |330u         |elco2_rad10mm    |       |
|184|C1057    |330u         |elco2_rad10mm    |       |
|185|C1058    |330u         |elco2_rad10mm    |       |
|186|C1059    |10u          |ELCO_SMD35x28    |       |
|187|C1060    |10u          |ELCO_SMD35x28    |       |
|188|C1061    |10u          |ELCO_SMD35x28    |       |
|189|C1062    |10u          |ELCO_SMD35x28    |       |
|190|C1063    |10u          |ELCO_SMD35x28    |       |
|191|C1064    |10u          |ELCO_SMD35x28    |       |
|192|C1065    |10u          |ELCO_SMD35x28    |       |
|193|C1066    |10u          |ELCO_SMD35x28    |       |
|194|C1067    |10u          |ELCO_SMD35x28    |       |
|195|C1068    |10u          |ELCO_SMD35x28    |       |
|196|C1070    |10u          |ELCO_SMD35x28    |       |
|197|C1071    |10u          |ELCO_SMD35x28    |       |
|198|C1072    |10u          |ELCO_SMD35x28    |       |
|199|C1073    |100n         |K0603            |       |
|200|D900     |BAV99        |sot23_diode      |       |
|201|D901     |BAV99        |sot23_diode      |       |
|202|D902     |BAV99        |sot23_diode      |       |
|203|D903     |BAV99        |sot23_diode      |       |
|204|D904     |BAV99        |sot23_diode      |       |
|205|D905     |BAV99        |sot23_diode      |       |
|206|F600     |1A           |fuse_smd10x6     |       |
|207|F601     |1A           |fuse_smd10x6     |       |
|208|F602     |1A           |fuse_smd10x6     |       |
|209|J100     |CON4         |header1x4        |       |
|210|J300     |PCI-BUS      |pci_slot         |       |
|211|J301     |PCI-BUS      |pci_slot         |       |
|212|J302     |PCI-BUS      |pci_slot         |       |
|213|J303     |PCI-BUS      |pci_slot         |       |
|214|J500     |PCAT-BUS     |isa_atslot       |       |
|215|J501     |PCAT-BUS     |isa_atslot       |       |
|216|J502     |PCAT-BUS     |isa_atslot       |       |
|217|J600     |CON6         |din5_keyb        |       |
|218|J601     |CON4         |header1x4        |       |
|219|J602     |CON4         |header1x4        |       |
|220|J900     |CON6         |header1x6_pcat   |       |
|221|J901     |CON6         |header1x6_pcat   |       |
|222|JP100    |HEADER_20X2  |header2x20       |       |
|223|JP101    |HEADER_20X2  |header2x20       |       |
|224|JP102    |HEADER_2     |header1x2        |       |
|225|JP103    |HEADER_4     |header1x4        |       |
|226|JP104    |HEADER_2     |header1x2        |       |
|227|JP200    |HEADER_3X2   |header2x3        |       |
|228|JP201    |HEADER_3     |header1x3        |       |
|229|JP600    |HEADER_3     |header1x3        |       |
|230|JP601    |HEADER_17X2  |header2x17       |       |
|231|JP602    |HEADER-SUBD9 |header2x5        |       |
|232|JP603    |HEADER-SUBD9 |header2x5        |       |
|233|JP604    |HEADER-SUBD25|header2x13       |       |
|234|JP701    |MOUNTING-HOLE|Mountinghole_pcat|       |
|235|JP702    |MOUNTING-HOLE|Mountinghole_pcat|       |
|236|JP706    |MOUNTING-HOLE|Mountinghole_pcat|       |
|237|JP707    |MOUNTING-HOLE|Mountinghole_pcat|       |
|238|JP708    |MOUNTING-HOLE|Mountinghole_pcat|       |
|239|JP709    |MOUNTING-HOLE|Mountinghole_pcat|       |
|240|JP900    |HEADER_5X2   |header2x5        |       |
|241|L200     |INDUCTOR     |SMD_ferriet      |       |
|242|L600     |FB           |SMD_ferriet      |       |
|243|L601     |FB           |SMD_ferriet      |       |
|244|L602     |FB           |SMD_ferriet      |       |
|245|L603     |FB           |SMD_ferriet      |       |
|246|L604     |FB           |SMD_ferriet      |       |
|247|L605     |FB           |SMD_ferriet      |       |
|248|L900     |2.5uH        |ind_rad10_p10    |       |
|249|L901     |2.5uH        |ind_rad10_p10    |       |
|250|Q100     |2N3904       |sot23_tor        |       |
|251|R100     |33R          |K0603            |       |
|252|R101     |33R          |K0603            |       |
|253|R102     |33R          |K0603            |       |
|254|R103     |33R          |K0603            |       |
|255|R104     |33R          |K0603            |       |
|256|R105     |33R          |K0603            |       |
|257|R106     |33R          |K0603            |       |
|258|R107     |33R          |K0603            |       |
|259|R108     |33R          |K0603            |       |
|260|R109     |33R          |K0603            |       |
|261|R110     |33R          |K0603            |       |
|262|R111     |47R          |K0603            |       |
|263|R112     |33R          |K0603            |       |
|264|R113     |33R          |K0603            |       |
|265|R114     |33R          |K0603            |       |
|266|R115     |33R          |K0603            |       |
|267|R116     |33R          |K0603            |       |
|268|R117     |33R          |K0603            |       |
|269|R118     |33R          |K0603            |       |
|270|R119     |33R          |K0603            |       |
|271|R120     |33R          |K0603            |       |
|272|R121     |33R          |K0603            |       |
|273|R122     |33R          |K0603            |       |
|274|R123     |33R          |K0603            |       |
|275|R124     |33R          |K0603            |       |
|276|R125     |33R          |K0603            |       |
|277|R126     |33R          |K0603            |       |
|278|R127     |33R          |K0603            |       |
|279|R128     |47R          |K0603            |       |
|280|R129     |1M0          |K0603            |       |
|281|R130     |33R          |K0603            |       |
|282|R131     |1k0          |K0603            |       |
|283|R132     |68R          |K0603            |       |
|284|R133     |68R          |K0603            |       |
|285|R134     |2k2          |K0603            |       |
|286|R135     |220R         |K0603            |       |
|287|R136     |33R          |K0603            |       |
|288|R137     |33R          |K0603            |       |
|289|R138     |4k7          |K0603            |       |
|290|R139     |33R          |K0603            |       |
|291|R140     |33R          |K0603            |       |
|292|R141     |470R         |K0603            |       |
|293|R142     |33R          |K0603            |       |
|294|R143     |33R          |K0603            |       |
|295|R144     |33R          |K0603            |       |
|296|R145     |33R          |K0603            |       |
|297|R146     |33R          |K0603            |       |
|298|R147     |33R          |K0603            |       |
|299|R148     |33R          |K0603            |       |
|300|R149     |33R          |K0603            |       |
|301|R150     |33R          |K0603            |       |
|302|R151     |33R          |K0603            |       |
|303|R152     |470R         |K0603            |       |
|304|R153     |33R          |K0603            |       |
|305|R154     |33R          |K0603            |       |
|306|R155     |33R          |K0603            |       |
|307|R156     |33R          |K0603            |       |
|308|R157     |33R          |K0603            |       |
|309|R158     |33R          |K0603            |       |
|310|R159     |33R          |K0603            |       |
|311|R160     |33R          |K0603            |       |
|312|R161     |33R          |K0603            |       |
|313|R162     |33R          |K0603            |       |
|314|R200     |47R          |K0603            |       |
|315|R201     |47R          |K0603            |       |
|316|R202     |33R          |K0603            |       |
|317|R203     |33R          |K0603            |       |
|318|R204     |33R          |K0603            |       |
|319|R205     |33R          |K0603            |       |
|320|R206     |22R          |K0603            |       |
|321|R207     |33R          |K0603            |       |
|322|R208     |33R          |K0603            |       |
|323|R209     |33R          |K0603            |       |
|324|R210     |33R          |K0603            |       |
|325|R211     |22R          |K0603            |       |
|326|R212     |22R          |K0603            |       |
|327|R213     |22R          |K0603            |       |
|328|R214     |22R          |K0603            |       |
|329|R215     |22R          |K0603            |       |
|330|R216     |22R          |K0603            |       |
|331|R217     |22R          |K0603            |       |
|332|R218     |22R          |K0603            |       |
|333|R219     |10k          |K0603            |       |
|334|R220     |4k7          |K0603            |       |
|335|R221     |4k7          |K0603            |       |
|336|R222     |330R         |K0603            |       |
|337|R223     |330R         |K0603            |       |
|338|R224     |4k7          |K0603            |       |
|339|R225     |4k7          |K0603            |       |
|340|R226     |4k7          |K0603            |       |
|341|R227     |4k7          |K0603            |       |
|342|R228     |330R         |K0603            |       |
|343|R229     |33R          |K0603            |       |
|344|R230     |33R          |K0603            |       |
|345|R231     |33R          |K0603            |       |
|346|R232     |220R         |K0603            |       |
|347|R233     |10K          |K0603            |       |
|348|R234     |10K          |K0603            |       |
|349|R235     |10K          |K0603            |       |
|350|R236     |220R         |K0603            |       |
|351|R237     |220R         |K0603            |       |
|352|R238     |10K          |K0603            |       |
|353|R239     |10K          |K0603            |       |
