;
;
;
;
;
;
;
;Symbolname     Code1  Code2 PartNr        Value             Geometry             Description
R                   1  110   ""            "1R5"             K0603                "RESISTOR 1.5 OHM"
R                   1  110   ""            "1R8"             K0603                "RESISTOR 1.8 OHM"
R                   1  110   ""            "2R2"             K0603                "RESISTOR 2.2 OHM"
R                   1  110   ""            "2R7"             K0603                "RESISTOR 2.7 OHM"
R                   1  110   ""            "3R3"             K0603                "RESISTOR 3.3 OHM"
R                   1  110   ""            "3R9"             K0603                "RESISTOR 3.9 OHM"
R                   1  110   ""            "4R7"             K0603                "RESISTOR 4.7 OHM"
R                   1  110   ""            "5R6"             K0603                "RESISTOR 5.6 OHM"
R                   1  110   ""            "6R8"             K0603                "RESISTOR 6.8 OHM"
R                   1  110   ""            "8R2"             K0603                "RESISTOR 8.2 OHM"
R                   1  110   ""            "10R"             K0603                "RESISTOR 10 OHM"
R                   1  110   ""            "12R"             K0603                "RESISTOR 12 OHM"
R                   1  110   ""            "15R"             K0603                "RESISTOR 15 OHM"
R                   1  110   ""            "18R"             K0603                "RESISTOR 18 OHM"
R                   1  110   ""            "22R"             K0603                "RESISTOR 22 OHM"
R                   1  110   ""            "27R"             K0603                "RESISTOR 27 OHM"
R                   1  110   ""            "33R"             K0603                "RESISTOR 33 OHM"
R                   1  110   ""            "39R"             K0603                "RESISTOR 39 OHM"
R                   1  110   ""            "47R"             K0603                "RESISTOR 47 OHM"
R                   1  110   ""            "56R"             K0603                "RESISTOR 56 OHM"
R                   1  110   ""            "68R"             K0603                "RESISTOR 68 OHM"
R                   1  110   ""            "82R"             K0603                "RESISTOR 82 OHM"
R                   1  110   ""            "100R"            K0603                "RESISTOR 100 OHM"
R                   1  110   ""            "120R"            K0603                "RESISTOR 120 OHM"
R                   1  110   ""            "150R"            K0603                "RESISTOR 150 OHM"
R                   1  110   ""            "180R"            K0603                "RESISTOR 180 OHM"
R                   1  110   ""            "220R"            K0603                "RESISTOR 220 OHM"
R                   1  110   ""            "270R"            K0603                "RESISTOR 270 OHM"
R                   1  110   ""            "330R"            K0603                "RESISTOR 330 OHM"
R                   1  110   ""            "390R"            K0603                "RESISTOR 390 OHM"
R                   1  110   ""            "470R"            K0603                "RESISTOR 470 OHM"
R                   1  110   ""            "560R"            K0603                "RESISTOR 560 OHM"
R                   1  110   ""            "680R"            K0603                "RESISTOR 680 OHM"
R                   1  110   ""            "820R"            K0603                "RESISTOR 820 OHM"
R                   1  110   ""            "1K0"             K0603                "RESISTOR 1.0K OHM"
R                   1  110   ""            "1K2"             K0603                "RESISTOR 1.2K OHM"
R                   1  110   ""            "1K5"             K0603                "RESISTOR 1.5K OHM"
R                   1  110   ""            "1K8"             K0603                "RESISTOR 1.8K OHM"
R                   1  110   ""            "2K2"             K0603                "RESISTOR 2.2K OHM"
R                   1  110   ""            "2K7"             K0603                "RESISTOR 2.7K OHM"
R                   1  110   ""            "3K3"             K0603                "RESISTOR 3.3K OHM"
R                   1  110   ""            "3K9"             K0603                "RESISTOR 3.9K OHM"
R                   1  110   ""            "4K7"             K0603                "RESISTOR 4.7K OHM"
R                   1  110   ""            "5K6"             K0603                "RESISTOR 5.6K OHM"
R                   1  110   ""            "6K8"             K0603                "RESISTOR 6.8K OHM"
R                   1  110   ""            "8K2"             K0603                "RESISTOR 8.2K OHM"
R                   1  110   ""            "10K"             K0603                "RESISTOR 10K OHM"
R                   1  110   ""            "12K"             K0603                "RESISTOR 12K OHM"
R                   1  110   ""            "15K"             K0603                "RESISTOR 15K OHM"
R                   1  110   ""            "18K"             K0603                "RESISTOR 18K OHM"
R                   1  110   ""            "22K"             K0603                "RESISTOR 22K OHM"
R                   1  110   ""            "27K"             K0603                "RESISTOR 27K OHM"
R                   1  110   ""            "33K"             K0603                "RESISTOR 33K OHM"
R                   1  110   ""            "39K"             K0603                "RESISTOR 39K OHM"
R                   1  110   ""            "47K"             K0603                "RESISTOR 47K OHM"
R                   1  110   ""            "56K"             K0603                "RESISTOR 56K OHM"
R                   1  110   ""            "68K"             K0603                "RESISTOR 68K OHM"
R                   1  110   ""            "82K"             K0603                "RESISTOR 82K OHM"
R                   1  110   ""            "100K"            K0603                "RESISTOR 100K OHM"
R                   1  110   ""            "120K"            K0603                "RESISTOR 120K OHM"
R                   1  110   ""            "150K"            K0603                "RESISTOR 150K OHM"
R                   1  110   ""            "180K"            K0603                "RESISTOR 180K OHM"
R                   1  110   ""            "220K"            K0603                "RESISTOR 220K OHM"
R                   1  110   ""            "270K"            K0603                "RESISTOR 270K OHM"
R                   1  110   ""            "330K"            K0603                "RESISTOR 330K OHM"
R                   1  110   ""            "390K"            K0603                "RESISTOR 390K OHM"
R                   1  110   ""            "470K"            K0603                "RESISTOR 470K OHM"
R                   1  110   ""            "560K"            K0603                "RESISTOR 560K OHM"
R                   1  110   ""            "680K"            K0603                "RESISTOR 680K OHM"
R                   1  110   ""            "820K"            K0603                "RESISTOR 820K OHM"
R                   1  110   ""            "1M0"             K0603                "RESISTOR 1.0M OHM"
R                   1  110   ""            "1M2"             K0603                "RESISTOR 1.2M OHM"
R                   1  110   ""            "1M5"             K0603                "RESISTOR 1.5M OHM"
R                   1  110   ""            "1M8"             K0603                "RESISTOR 1.8M OHM"
R                   1  110   ""            "2M2"             K0603                "RESISTOR 2.2M OHM"
R                   1  110   ""            "2M7"             K0603                "RESISTOR 2.7M OHM"
R                   1  110   ""            "3M3"             K0603                "RESISTOR 3.3M OHM"
R                   1  110   ""            "3M9"             K0603                "RESISTOR 3.9M OHM"
R                   1  110   ""            "4M7"             K0603                "RESISTOR 4.7M OHM"
R                   1  110   ""            "5M6"             K0603                "RESISTOR 5.6M OHM"
R                   1  110   ""            "6M8"             K0603                "RESISTOR 6.8M OHM"
R                   1  110   ""            "8M2"             K0603                "RESISTOR 8.2M OHM"
R                   1  110   ""            "10M"             K0603                "RESISTOR 10M OHM"
R                   1  120   ""            "0R"              K0805                "RESISTOR 0 OHM"
R                   1  120   ""            "1R0"             K0805                "RESISTOR 1.0 OHM"
R                   1  120   ""            "1R2"             K0805                "RESISTOR 1.2 OHM"
R                   1  120   ""            "1R5"             K0805                "RESISTOR 1.5 OHM"
R                   1  120   ""            "1R8"             K0805                "RESISTOR 1.8 OHM"
R                   1  120   ""            "2R2"             K0805                "RESISTOR 2.2 OHM"
R                   1  120   ""            "2R7"             K0805                "RESISTOR 2.7 OHM"
R                   1  120   ""            "3R3"             K0805                "RESISTOR 3.3 OHM"
R                   1  120   ""            "3R9"             K0805                "RESISTOR 3.9 OHM"
R                   1  120   ""            "4R7"             K0805                "RESISTOR 4.7 OHM"
R                   1  120   ""            "5R6"             K0805                "RESISTOR 5.6 OHM"
R                   1  120   ""            "6R8"             K0805                "RESISTOR 6.8 OHM"
